x,qx,lx,dx,Lx,Tx,ex,sex,year
100.0,0.37561,217.0,81.0,176.0,427.0,1.97,M,1900.0
101.0,0.39247,135.0,53.0,109.0,251.0,1.86,M,1900.0
102.0,0.41986,82.0,34.0,65.0,142.0,1.73,M,1900.0
103.0,0.44411,48.0,21.0,37.0,77.0,1.62,M,1900.0
104.0,0.46967,26.0,12.0,20.0,40.0,1.52,M,1900.0
105.0,0.49678,14.0,7.0,11.0,20.0,1.42,M,1900.0
106.0,0.52404,7.0,4.0,5.0,9.0,1.33,M,1900.0
107.0,0.55161,3.0,2.0,2.0,4.0,1.25,M,1900.0
108.0,0.57962,2.0,1.0,1.0,2.0,1.17,M,1900.0
109.0,0.60819,1.0,0.0,0.0,1.0,1.1,M,1900.0
110.0,0.63746,0.0,0.0,0.0,0.0,1.03,M,1900.0
111.0,0.66752,0.0,0.0,0.0,0.0,0.97,M,1900.0
112.0,0.69852,0.0,0.0,0.0,0.0,0.91,M,1900.0
113.0,0.73053,0.0,0.0,0.0,0.0,0.85,M,1900.0
114.0,0.76365,0.0,0.0,0.0,0.0,0.79,M,1900.0
115.0,0.79799,0.0,0.0,0.0,0.0,0.74,M,1900.0
116.0,0.83363,0.0,0.0,0.0,0.0,0.69,M,1900.0
117.0,0.87066,0.0,0.0,0.0,0.0,0.64,M,1900.0
118.0,0.90919,0.0,0.0,0.0,0.0,0.6,M,1900.0
119.0,0.94927,0.0,0.0,0.0,0.0,0.55,M,1900.0
0.0,0.11969,1e5,11969.0,92047.0,5828405.0,58.28,F,1900.0
1.0,0.03061,88031.0,2694.0,86683.0,5736358.0,65.16,F,1900.0
2.0,0.01489,85336.0,1270.0,84701.0,5649675.0,66.2,F,1900.0
3.0,0.01011,84066.0,850.0,83641.0,5564974.0,66.2,F,1900.0
4.0,0.00823,83216.0,684.0,82874.0,5481333.0,65.87,F,1900.0
5.0,0.00585,82532.0,483.0,82290.0,5398459.0,65.41,F,1900.0
6.0,0.00428,82049.0,351.0,81873.0,5316168.0,64.79,F,1900.0
7.0,0.00306,81697.0,250.0,81572.0,5234295.0,64.07,F,1900.0
8.0,0.00232,81447.0,189.0,81353.0,5152723.0,63.26,F,1900.0
9.0,0.0018600000000000001,81258.0,151.0,81183.0,5071371.0,62.41,F,1900.0
10.0,0.00203,81107.0,164.0,81025.0,4990188.0,61.53,F,1900.0
11.0,0.00198,80943.0,160.0,80863.0,4909163.0,60.65,F,1900.0
12.0,0.00195,80783.0,157.0,80704.0,4828300.0,59.77,F,1900.0
13.0,0.00227,80626.0,183.0,80534.0,4747595.0,58.88,F,1900.0
14.0,0.00233,80442.0,187.0,80349.0,4667061.0,58.02,F,1900.0
15.0,0.00256,80255.0,205.0,80152.0,4586712.0,57.15,F,1900.0
16.0,0.00304,80050.0,243.0,79928.0,4506560.0,56.3,F,1900.0
17.0,0.00364,79806.0,290.0,79661.0,4426632.0,55.47,F,1900.0
18.0,0.00785,79516.0,624.0,79204.0,4346971.0,54.67,F,1900.0
19.0,0.00518,78892.0,408.0,78688.0,4267767.0,54.1,F,1900.0
20.0,0.00535,78484.0,420.0,78274.0,4189079.0,53.38,F,1900.0
21.0,0.00458,78064.0,357.0,77885.0,4110805.0,52.66,F,1900.0
22.0,0.00468,77707.0,363.0,77525.0,4032920.0,51.9,F,1900.0
23.0,0.00479,77343.0,370.0,77158.0,3955395.0,51.14,F,1900.0
24.0,0.00471,76973.0,363.0,76792.0,3878237.0,50.38,F,1900.0
25.0,0.00477,76610.0,365.0,76428.0,3801445.0,49.62,F,1900.0
26.0,0.00487,76245.0,371.0,76060.0,3725017.0,48.86,F,1900.0
27.0,0.00458,75874.0,347.0,75701.0,3648957.0,48.09,F,1900.0
28.0,0.00472,75527.0,356.0,75349.0,3573257.0,47.31,F,1900.0
29.0,0.00476,75171.0,358.0,74992.0,3497908.0,46.53,F,1900.0
30.0,0.00445,74813.0,333.0,74647.0,3422916.0,45.75,F,1900.0
31.0,0.00447,74481.0,333.0,74314.0,3348269.0,44.95,F,1900.0
32.0,0.00432,74147.0,321.0,73987.0,3273955.0,44.15,F,1900.0
33.0,0.00426,73827.0,315.0,73670.0,3199967.0,43.34,F,1900.0
34.0,0.00437,73512.0,321.0,73352.0,3126298.0,42.53,F,1900.0
35.0,0.00458,73192.0,335.0,73024.0,3052946.0,41.71,F,1900.0
36.0,0.00494,72856.0,360.0,72677.0,2979922.0,40.9,F,1900.0
37.0,0.00482,72497.0,350.0,72322.0,2907245.0,40.1,F,1900.0
38.0,0.00451,72147.0,325.0,71985.0,2834923.0,39.29,F,1900.0
39.0,0.00448,71822.0,322.0,71661.0,2762939.0,38.47,F,1900.0
40.0,0.0046,71500.0,329.0,71336.0,2691278.0,37.64,F,1900.0
41.0,0.00469,71171.0,334.0,71004.0,2619942.0,36.81,F,1900.0
42.0,0.00476,70838.0,337.0,70669.0,2548937.0,35.98,F,1900.0
43.0,0.00503,70500.0,355.0,70323.0,2478269.0,35.15,F,1900.0
44.0,0.00505,70146.0,354.0,69968.0,2407946.0,34.33,F,1900.0
45.0,0.00526,69791.0,367.0,69608.0,2337978.0,33.5,F,1900.0
46.0,0.00539,69424.0,374.0,69237.0,2268370.0,32.67,F,1900.0
47.0,0.00575,69050.0,397.0,68852.0,2199133.0,31.85,F,1900.0
48.0,0.00592,68653.0,406.0,68450.0,2130281.0,31.03,F,1900.0
49.0,0.00628,68247.0,429.0,68033.0,2061831.0,30.21,F,1900.0
50.0,0.00656,67818.0,445.0,67596.0,1993798.0,29.4,F,1900.0
51.0,0.00727,67373.0,490.0,67128.0,1926202.0,28.59,F,1900.0
52.0,0.00765,66883.0,511.0,66627.0,1859074.0,27.8,F,1900.0
53.0,0.00805,66372.0,534.0,66105.0,1792447.0,27.01,F,1900.0
54.0,0.00807,65837.0,531.0,65572.0,1726342.0,26.22,F,1900.0
55.0,0.00837,65306.0,547.0,65033.0,1660770.0,25.43,F,1900.0
56.0,0.00914,64760.0,592.0,64464.0,1595737.0,24.64,F,1900.0
57.0,0.0099,64168.0,635.0,63850.0,1531273.0,23.86,F,1900.0
58.0,0.01038,63533.0,660.0,63203.0,1467423.0,23.1,F,1900.0
59.0,0.01108,62873.0,696.0,62525.0,1404220.0,22.33,F,1900.0
60.0,0.01237,62177.0,769.0,61792.0,1341695.0,21.58,F,1900.0
61.0,0.01331,61408.0,817.0,60999.0,1279903.0,20.84,F,1900.0
62.0,0.01474,60590.0,893.0,60144.0,1218904.0,20.12,F,1900.0
63.0,0.01606,59697.0,959.0,59217.0,1158761.0,19.41,F,1900.0
64.0,0.01674,58738.0,983.0,58247.0,1099543.0,18.72,F,1900.0
65.0,0.01794,57755.0,1036.0,57237.0,1041297.0,18.03,F,1900.0
66.0,0.01949,56719.0,1105.0,56167.0,984060.0,17.35,F,1900.0
67.0,0.02081,55614.0,1157.0,55035.0,927893.0,16.68,F,1900.0
68.0,0.02165,54457.0,1179.0,53867.0,872858.0,16.03,F,1900.0
69.0,0.02296,53278.0,1223.0,52666.0,818991.0,15.37,F,1900.0
70.0,0.02513,52054.0,1308.0,51400.0,766325.0,14.72,F,1900.0
71.0,0.02737,50747.0,1389.0,50052.0,714924.0,14.09,F,1900.0
72.0,0.03027,49358.0,1494.0,48611.0,664872.0,13.47,F,1900.0
73.0,0.03229,47864.0,1546.0,47091.0,616261.0,12.88,F,1900.0
74.0,0.03419,46318.0,1583.0,45526.0,569170.0,12.29,F,1900.0
75.0,0.03628,44735.0,1623.0,43923.0,523644.0,11.71,F,1900.0
76.0,0.03935,43112.0,1697.0,42263.0,479721.0,11.13,F,1900.0
77.0,0.04218,41415.0,1747.0,40542.0,437457.0,10.56,F,1900.0
78.0,0.04627,39668.0,1836.0,38750.0,396916.0,10.01,F,1900.0
79.0,0.04954,37833.0,1874.0,36895.0,358165.0,9.47,F,1900.0
80.0,0.0562,35958.0,2021.0,34948.0,321270.0,8.93,F,1900.0
81.0,0.06011,33938.0,2040.0,32918.0,286322.0,8.44,F,1900.0
82.0,0.06453,31898.0,2058.0,30869.0,253404.0,7.94,F,1900.0
83.0,0.07291,29839.0,2175.0,28752.0,222536.0,7.46,F,1900.0
84.0,0.07979,27664.0,2207.0,26560.0,193784.0,7.0,F,1900.0
85.0,0.08888,25457.0,2263.0,24325.0,167224.0,6.57,F,1900.0
86.0,0.0966,23194.0,2241.0,22074.0,142899.0,6.16,F,1900.0
87.0,0.10639,20953.0,2229.0,19839.0,120825.0,5.77,F,1900.0
88.0,0.11968,18724.0,2241.0,17604.0,100986.0,5.39,F,1900.0
89.0,0.1269,16483.0,2092.0,15437.0,83383.0,5.06,F,1900.0
90.0,0.13718,14392.0,1974.0,13404.0,67945.0,4.72,F,1900.0
91.0,0.14864,12417.0,1846.0,11495.0,54541.0,4.39,F,1900.0
92.0,0.16007,10572.0,1692.0,9726.0,43046.0,4.07,F,1900.0
93.0,0.18423,8879.0,1636.0,8062.0,33321.0,3.75,F,1900.0
94.0,0.20021,7244.0,1450.0,6519.0,25259.0,3.49,F,1900.0
95.0,0.22006,5793.0,1275.0,5156.0,18741.0,3.23,F,1900.0
96.0,0.23851,4518.0,1078.0,3980.0,13585.0,3.01,F,1900.0
97.0,0.25991,3441.0,894.0,2994.0,9605.0,2.79,F,1900.0
98.0,0.27881,2546.0,710.0,2191.0,6611.0,2.6,F,1900.0
99.0,0.30675,1837.0,563.0,1555.0,4420.0,2.41,F,1900.0
100.0,0.32915,1273.0,419.0,1064.0,2865.0,2.25,F,1900.0
101.0,0.34475,854.0,294.0,707.0,1802.0,2.11,F,1900.0
102.0,0.3726,560.0,209.0,455.0,1095.0,1.96,F,1900.0
103.0,0.39781,351.0,140.0,281.0,639.0,1.82,F,1900.0
104.0,0.42451,211.0,90.0,167.0,358.0,1.69,F,1900.0
105.0,0.45317,122.0,55.0,94.0,191.0,1.57,F,1900.0
106.0,0.48253,67.0,32.0,50.0,97.0,1.46,F,1900.0
107.0,0.5127,34.0,18.0,26.0,47.0,1.36,F,1900.0
108.0,0.54382,17.0,9.0,12.0,21.0,1.26,F,1900.0
109.0,0.57602,8.0,4.0,5.0,9.0,1.17,F,1900.0
110.0,0.60944,3.0,2.0,2.0,4.0,1.09,F,1900.0
111.0,0.64414,1.0,1.0,1.0,1.0,1.01,F,1900.0
112.0,0.68038,0.0,0.0,0.0,0.0,0.94,F,1900.0
113.0,0.71823,0.0,0.0,0.0,0.0,0.87,F,1900.0
114.0,0.75783,0.0,0.0,0.0,0.0,0.8,F,1900.0
115.0,0.79799,0.0,0.0,0.0,0.0,0.74,F,1900.0
116.0,0.83363,0.0,0.0,0.0,0.0,0.69,F,1900.0
117.0,0.87066,0.0,0.0,0.0,0.0,0.64,F,1900.0
118.0,0.90919,0.0,0.0,0.0,0.0,0.6,F,1900.0
119.0,0.94927,0.0,0.0,0.0,0.0,0.55,F,1900.0
0.0,0.12006,1e5,12006.0,91343.0,5619187.0,56.19,M,1910.0
1.0,0.02284,87994.0,2010.0,86989.0,5527844.0,62.82,M,1910.0
2.0,0.01104,85984.0,949.0,85510.0,5440855.0,63.28,M,1910.0
3.0,0.00833,85035.0,709.0,84681.0,5355346.0,62.98,M,1910.0
4.0,0.0058,84327.0,489.0,84082.0,5270665.0,62.5,M,1910.0
5.0,0.0041,83838.0,343.0,83666.0,5186582.0,61.86,M,1910.0
6.0,0.00353,83495.0,295.0,83347.0,5102916.0,61.12,M,1910.0
7.0,0.00283,83200.0,235.0,83082.0,5019569.0,60.33,M,1910.0
8.0,0.00355,82965.0,294.0,82818.0,4936487.0,59.5,M,1910.0
9.0,0.00235,82670.0,194.0,82573.0,4853669.0,58.71,M,1910.0
10.0,0.00216,82476.0,178.0,82387.0,4771096.0,57.85,M,1910.0
11.0,0.00214,82298.0,176.0,82210.0,4688708.0,56.97,M,1910.0
12.0,0.00194,82122.0,159.0,82043.0,4606498.0,56.09,M,1910.0
13.0,0.00218,81963.0,179.0,81874.0,4524456.0,55.2,M,1910.0
14.0,0.00233,81784.0,190.0,81689.0,4442582.0,54.32,M,1910.0
15.0,0.00261,81594.0,213.0,81488.0,4360892.0,53.45,M,1910.0
16.0,0.00284,81381.0,231.0,81266.0,4279405.0,52.58,M,1910.0
17.0,0.003,81150.0,243.0,81028.0,4198139.0,51.73,M,1910.0
18.0,0.00352,80907.0,285.0,80764.0,4117111.0,50.89,M,1910.0
19.0,0.0037,80622.0,298.0,80472.0,4036347.0,50.07,M,1910.0
20.0,0.00374,80323.0,300.0,80173.0,3955874.0,49.25,M,1910.0
21.0,0.00381,80023.0,304.0,79871.0,3875701.0,48.43,M,1910.0
22.0,0.00356,79719.0,284.0,79577.0,3795830.0,47.62,M,1910.0
23.0,0.00359,79434.0,285.0,79292.0,3716254.0,46.78,M,1910.0
24.0,0.00374,79149.0,296.0,79002.0,3636962.0,45.95,M,1910.0
25.0,0.00379,78854.0,299.0,78704.0,3557960.0,45.12,M,1910.0
26.0,0.00396,78555.0,311.0,78399.0,3479256.0,44.29,M,1910.0
27.0,0.00385,78244.0,301.0,78093.0,3400857.0,43.47,M,1910.0
28.0,0.00341,77943.0,265.0,77810.0,3322764.0,42.63,M,1910.0
29.0,0.00331,77677.0,257.0,77549.0,3244954.0,41.77,M,1910.0
30.0,0.0034,77420.0,263.0,77289.0,3167405.0,40.91,M,1910.0
31.0,0.00345,77157.0,266.0,77024.0,3090117.0,40.05,M,1910.0
32.0,0.00353,76891.0,272.0,76755.0,3013093.0,39.19,M,1910.0
33.0,0.00358,76619.0,275.0,76482.0,2936338.0,38.32,M,1910.0
34.0,0.00375,76345.0,286.0,76202.0,2859855.0,37.46,M,1910.0
35.0,0.00411,76059.0,313.0,75903.0,2783653.0,36.6,M,1910.0
36.0,0.0037200000000000002,75746.0,282.0,75606.0,2707751.0,35.75,M,1910.0
37.0,0.00381,75465.0,287.0,75321.0,2632145.0,34.88,M,1910.0
38.0,0.00399,75177.0,300.0,75027.0,2556824.0,34.01,M,1910.0
39.0,0.00415,74877.0,310.0,74722.0,2481797.0,33.14,M,1910.0
40.0,0.00436,74567.0,325.0,74405.0,2407075.0,32.28,M,1910.0
41.0,0.00486,74242.0,361.0,74062.0,2332670.0,31.42,M,1910.0
42.0,0.00519,73881.0,383.0,73689.0,2258609.0,30.57,M,1910.0
43.0,0.00559,73498.0,411.0,73292.0,2184919.0,29.73,M,1910.0
44.0,0.00567,73087.0,415.0,72880.0,2111627.0,28.89,M,1910.0
45.0,0.00617,72673.0,448.0,72448.0,2038747.0,28.05,M,1910.0
46.0,0.00681,72224.0,492.0,71978.0,1966299.0,27.22,M,1910.0
47.0,0.0075,71733.0,538.0,71464.0,1894320.0,26.41,M,1910.0
48.0,0.00817,71195.0,582.0,70904.0,1822857.0,25.6,M,1910.0
49.0,0.00913,70613.0,645.0,70291.0,1751953.0,24.81,M,1910.0
50.0,0.01033,69968.0,723.0,69607.0,1681662.0,24.03,M,1910.0
51.0,0.01104,69246.0,764.0,68864.0,1612055.0,23.28,M,1910.0
52.0,0.01228,68482.0,841.0,68061.0,1543191.0,22.53,M,1910.0
53.0,0.01335,67641.0,903.0,67189.0,1475130.0,21.81,M,1910.0
54.0,0.01412,66738.0,942.0,66267.0,1407940.0,21.1,M,1910.0
55.0,0.0152,65796.0,1e3,65296.0,1341674.0,20.39,M,1910.0
56.0,0.01676,64796.0,1086.0,64253.0,1276378.0,19.7,M,1910.0
57.0,0.01804,63710.0,1149.0,63135.0,1212125.0,19.03,M,1910.0
58.0,0.02036,62560.0,1274.0,61924.0,1148990.0,18.37,M,1910.0
59.0,0.02185,61287.0,1339.0,60617.0,1087067.0,17.74,M,1910.0
60.0,0.02348,59948.0,1407.0,59244.0,1026450.0,17.12,M,1910.0
61.0,0.02473,58541.0,1448.0,57817.0,967205.0,16.52,M,1910.0
62.0,0.02704,57093.0,1544.0,56321.0,909389.0,15.93,M,1910.0
63.0,0.02852,55550.0,1584.0,54757.0,853067.0,15.36,M,1910.0
64.0,0.0297,53965.0,1603.0,53164.0,798310.0,14.79,M,1910.0
65.0,0.03122,52363.0,1635.0,51545.0,745146.0,14.23,M,1910.0
66.0,0.03341,50728.0,1695.0,49881.0,693600.0,13.67,M,1910.0
67.0,0.03514,49033.0,1723.0,48172.0,643720.0,13.13,M,1910.0
68.0,0.03771,47310.0,1784.0,46418.0,595548.0,12.59,M,1910.0
69.0,0.03964,45526.0,1805.0,44624.0,549130.0,12.06,M,1910.0
70.0,0.04312,43721.0,1885.0,42779.0,504506.0,11.54,M,1910.0
71.0,0.04553,41836.0,1905.0,40884.0,461727.0,11.04,M,1910.0
72.0,0.04792,39932.0,1914.0,38975.0,420843.0,10.54,M,1910.0
73.0,0.05286,38018.0,2010.0,37013.0,381868.0,10.04,M,1910.0
74.0,0.05641,36009.0,2031.0,34993.0,344855.0,9.58,M,1910.0
75.0,0.06095,33978.0,2071.0,32942.0,309862.0,9.12,M,1910.0
76.0,0.06523,31907.0,2081.0,30866.0,276920.0,8.68,M,1910.0
77.0,0.06982,29825.0,2082.0,28784.0,246054.0,8.25,M,1910.0
78.0,0.0754,27743.0,2092.0,26697.0,217270.0,7.83,M,1910.0
79.0,0.07903,25651.0,2027.0,24638.0,190572.0,7.43,M,1910.0
80.0,0.08448,23624.0,1996.0,22626.0,165935.0,7.02,M,1910.0
81.0,0.09042,21628.0,1956.0,20651.0,143308.0,6.63,M,1910.0
82.0,0.09652,19673.0,1899.0,18723.0,122658.0,6.23,M,1910.0
83.0,0.10764,17774.0,1913.0,16817.0,103934.0,5.85,M,1910.0
84.0,0.11561,15861.0,1834.0,14944.0,87117.0,5.49,M,1910.0
85.0,0.12587,14027.0,1766.0,13144.0,72173.0,5.15,M,1910.0
86.0,0.13612,12262.0,1669.0,11427.0,59028.0,4.81,M,1910.0
87.0,0.14854,10593.0,1573.0,9806.0,47601.0,4.49,M,1910.0
88.0,0.16026,9019.0,1445.0,8296.0,37796.0,4.19,M,1910.0
89.0,0.1782,7574.0,1350.0,6899.0,29499.0,3.89,M,1910.0
90.0,0.19257,6224.0,1199.0,5625.0,22600.0,3.63,M,1910.0
91.0,0.20698,5025.0,1040.0,4505.0,16976.0,3.38,M,1910.0
92.0,0.22877,3985.0,912.0,3529.0,12470.0,3.13,M,1910.0
93.0,0.24908,3074.0,766.0,2691.0,8941.0,2.91,M,1910.0
94.0,0.27105,2308.0,626.0,1995.0,6250.0,2.71,M,1910.0
95.0,0.29359,1682.0,494.0,1435.0,4255.0,2.53,M,1910.0
96.0,0.31553,1188.0,375.0,1001.0,2819.0,2.37,M,1910.0
97.0,0.33642,813.0,274.0,677.0,1818.0,2.23,M,1910.0
98.0,0.35583,540.0,192.0,444.0,1141.0,2.11,M,1910.0
99.0,0.37338,348.0,130.0,283.0,698.0,2.01,M,1910.0
100.0,0.39134,218.0,85.0,175.0,415.0,1.9,M,1910.0
101.0,0.4098,133.0,54.0,105.0,240.0,1.81,M,1910.0
102.0,0.42883,78.0,34.0,61.0,134.0,1.71,M,1910.0
103.0,0.44849,45.0,20.0,35.0,73.0,1.63,M,1910.0
104.0,0.46882,25.0,12.0,19.0,38.0,1.54,M,1910.0
105.0,0.4899,13.0,6.0,10.0,19.0,1.46,M,1910.0
106.0,0.51178,7.0,3.0,5.0,9.0,1.38,M,1910.0
107.0,0.53451,3.0,2.0,2.0,4.0,1.31,M,1910.0
108.0,0.55816,2.0,1.0,1.0,2.0,1.24,M,1910.0
109.0,0.58277,1.0,0.0,0.0,1.0,1.17,M,1910.0
110.0,0.6084,0.0,0.0,0.0,0.0,1.1,M,1910.0
111.0,0.63511,0.0,0.0,0.0,0.0,1.04,M,1910.0
112.0,0.66295,0.0,0.0,0.0,0.0,0.98,M,1910.0
113.0,0.69197,0.0,0.0,0.0,0.0,0.92,M,1910.0
